ID,發刊日,標題,提供者,文章網址
429,2019/12/09,寫什麼好呢？,蔡佳玲心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1575855007381.pdf
428,2019/12/02,關於「失落」這件大事,黃莉棋心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1575252036310.pdf
427,2019/11/25,等待通往改變的終點站,張喻婷社工師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1574645117855.pdf
426,2019/11/18,淺談網路成癮,紀娙宜心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1574039768404.pdf
425,2019/11/11,短文,齊隆鯤兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1573435231415.pdf
424,2019/11/04,情緒照顧,蔡韻如社工師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1572830300019.pdf
423,2019/10/28,淺談焦慮症,李俊龍心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1572226372442.pdf
422,2019/10/21,對於痛苦的想像力,呂子豪心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1571625127526.pdf
421,2019/10/09,你是怕生?害羞?還是社交畏懼症,洪郁婷輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1570614256798.pdf
420,2019/10/04,讓自己變好,王釋逸兼任心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1570179422029.pdf
419,2019/09/27,我學習上有困難，但我不笨——認識學習障礙,陳宜仙輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1569553722155.pdf
418,2019/09/20,如何與情緒行為障礙學生相處,黃筑鈺輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1568972728562.pdf
417,2019/09/16,再思同理心,潘才學兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1568612598772.pdf
416,2019/09/09,「復仇式色情(revenge porn)」，拒絕成為共犯,紀怡安兼任心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1567995715737.pdf
415,2019/06/11,跑去當一天志工，心情超複雜,李俊龍心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1560217535852.pdf
414,2019/06/03,我有憂鬱症嗎？,紀娙宜心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1559525148194.pdf
413,2019/05/24,認識「性別平等意識」,張學善兼任心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1558681961718.pdf
412,2019/05/20,為自己演出滿意的生命劇本,孫羽佩心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1558315098278.pdf
411,2019/05/10,你走了，我怎麼辦？-悲傷之後,王秋蘋社工師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1557471497734.pdf
410,2019/05/03,自由權與尊重的距離,張喻婷社工師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1556867351467.pdf
409,2019/04/26,美好人生的起手式,蔡佳玲心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1556261695241.pdf
408,2019/04/22,做自己的生命設計師,黃莉棋心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1555895834241.pdf
407,2019/04/12,我好痛，可以不要再罵我了嗎？,吳若羽社工師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1555039437308.pdf
406,2019/04/08,練習與情緒作伴,呂子豪心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1554686440167.pdf
405,2019/03/29,淺談大學生的親密關係暴力,紀怡安兼任心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1553840472159.pdf
404,2019/03/23,精神分裂症(Schizophrenia)更名為「思覺失調症」,洪郁婷輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1553324063007.pdf
403,2019/03/18,不一樣與一樣,陳宜仙輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1552884600131.pdf
402,2019/03/11,你在網路中出賣了你自己？！,陳玟杏兼任心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1552266862908.pdf
401,2019/03/04,拿掉完美濾鏡，面對真實自己,蔡韻如社工師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1551661984674.pdf
400,2019/02/25,一起認識亞斯伯格症,黃筑鈺輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1551077796415.pdf
399,2019/02/18,成為『創傷』知情人,丁嘉妮兼任心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1550453435878.pdf
398,2019/02/13,帶著「害怕」去找「勇氣」,蔡素琴兼任心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1550027431025.pdf
397,2019/01/04,認出你自己,黃莉婷兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1546572542767.pdf
396,2018/12/28,快樂很簡單,齊隆鯤兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1545964564666.pdf
395,2018/12/21,你如何看待「負面情緒」呢,孫羽佩心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1545379355151.pdf
394,2018/12/17,輔具科技在手機APP的應用,洪郁婷輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1545013397026.pdf
393,2018/12/10,當一個合適的陪伴者,蔡韻如社工師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1544405356811.pdf
392,2018/12/03,聽覺障礙生的辛苦,黃筑鈺輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1543801087386.pdf
391,2018/11/26,謝謝自己的勇氣,吳若羽社工師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1543196030500.pdf
390,2018/11/19,別忘了愛自己,呂子豪心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1542598353006.pdf
389,2018/11/12,走一段身傷心痛的復原幽徑,黃莉棋心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1541985959665.pdf
388,2018/11/05,自閉症學生的困擾與因應,陳宜仙輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1541398800715.pdf
387,2018/10/29,我生病了,王釋逸兼任心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1540791651632.pdf
386,2018/10/22,使用網路適度不過度,張喻婷社工師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1540172014321.pdf
385,2018/10/15,生涯議題與親子關係,李俊龍心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1539566736232.pdf
384,2018/10/08,同志的親密暴力,紀娙宜心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1538960712811.pdf
383,2018/10/01,侏儒不認命,蔡佳玲心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1538358096985.pdf
382,2018/09/25,讀書分享；放鬆之書,蔡佳縈兼任心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1537841102599.pdf
381,2018/09/17,為好關係「推一把」,潘才學兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1537148645263.pdf
380,2018/09/10,自卑這種心魔,賴珮柔兼任心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1536541598869.pdf
379,2018/06/25,親密關係亮紅燈-如何辨別親密關係暴力,黃莉棋心理師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1529888340712.pdf
378,2018/06/19,如何在公共場合處理孩子的情緒及問題行為,蔡佳縈兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1529374026888.pdf
377,2018/06/05,CCR行不行？談跨文化親密關係,賴珮柔兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1528165068961.pdf
376,2018/05/28,用「心」溝通，有「心」無礙,蔡素琴兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1527499860720.pdf
375,2018/05/21,成癮與人際關係,李俊龍老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1526881539019.pdf
374,2018/05/14,你擁有多少快樂資本,孫羽佩老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1526263306545.pdf
373,2018/05/07,自殺防治~傾聽那心靈幽谷的聲音~,張喻婷老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1525664049103.pdf
372,2018/04/30,告別迷惘，走自己的路,蔡韻如老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1525051938991.pdf
371,2018/04/23,為什麼有些聰明的人無法閱讀,洪郁婷老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1524462321806.pdf
370,2018/04/18,陪。自己,黃筑鈺老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1524042875080.pdf
369,2018/04/09,面對自閉症患者－可以多一分理解與寬容,陳宜仙老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1523245769387.pdf
368,2018/03/31,杜鄉的微笑,呂子豪老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1522485384093.pdf
367,2018/03/30,臣服，需要練習,留妘蓁老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1522375077702.pdf
366,2018/03/19,永恆少年/少女,紀娙宜老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1521421779302.pdf
365,2018/03/12,『創傷』教會我們的事,丁嘉妮兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1520818652706.pdf
364,2018/03/05,旅蛙,陳玟杏兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1520242283480.pdf
363,2018/02/26,羽生結弦「絕對要贏」的氣魄與孤行,蔡佳玲老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1519637083922.pdf
362,2018/01/15,你可以更快樂!,張學善兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1515995050784.pdf
361,2018/01/08,陪伴經歷失落經驗者之原則,蔡佳縈兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1515377233159.pdf
360,2017/12/26,防衛之下，渴望之中，完美管家的啟示,蔡佳玲老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1514254068483.pdf
359,2017/12/18,道歉也需要學習的,蔡韻如老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1513559850216.pdf
358,2017/12/11,正念 -飲食靜觀的練習與體會,孫羽佩老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1512971528527.pdf
357,2017/12/04,在關係中，盡力而為就好,蔡素琴兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1512356618785.pdf
356,2017/12/04,認識注意力不足過動症(ADHD),洪郁婷老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1512356523613.pdf
355,2017/12/04,新鮮人的必修課！愛情來了～,丁嘉妮兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1512352454723.pdf
354,2017/11/17,接納「煩惱」改變一小步,潘才學兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1510900196400.pdf
353,2017/11/06,網路遊戲與學習投入,李俊龍老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1509931065060.pdf
352,2017/10/31,恐怖情人退散！戀愛保命符,賴珮柔老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1509413070072.pdf
351,2017/10/23,酸酸甜甜的滋味,黃筑鈺老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1508746758480.pdf
350,2017/10/16,親密關係暴力事件發生，如何和學生擬定在校園的安全計畫,張喻婷老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1508746687371.pdf
349,2017/10/02,接納自己的挫折經驗,紀娙宜老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1508746586746.pdf
348,2017/09/25,學會為自己負責的機會,呂子豪老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1506306775618.pdf
347,2017/09/18,好好說分手,留妘蓁老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1506306658181.pdf
346,2017/06/23,偏鄉小學心理師的反思：貧窮的優勢,李俊龍老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1498447131579.pdf
345,2017/06/19,孩子擁有「很明理的父母」也為難,黃莉婷兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1498447010032.pdf
344,2017/06/13,傾聽「標籤」下的聲音,呂子豪老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1498446847329.pdf
343,2017/06/07,與自己親密深度對話,潘才學兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1498446730282.pdf
342,2017/06/05,二八定律,齊隆鯤兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1498446594345.pdf
341,2017/06/01,你有「拒絕」的勇氣嗎？,留妘蓁老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1498446483001.pdf
340,2017/05/08,自殺的迷思與事實,孫羽佩老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1498446374548.pdf
338,2017/04/28,認識「遙遠星球的孩子」,洪郁婷老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1498446266376.pdf
338,2017/04/24,帶著問號的習慣,李鴻傑實習輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1498441471532.pdf
337,2017/04/17,療癒風吹起，你抒壓了嗎？,陳玟杏兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1498441358579.pdf
336,2017/04/10,讓生活更快樂的十二個提案,張學善兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1498441220392.pdf
335,2017/04/06,慢飛,林心婕老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1491537619034.pdf
334,2017/03/28,我手知我心—療癒系曼陀羅繪畫,賴珮柔兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1491537498596.pdf
333,2017/03/21,馨．源點~資源教室,林姝伶老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1490240248220.pdf
332,2017/03/13,生命－允許悲傷,紀娙宜老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1490240175439.pdf
331,2017/03/07,年輕人能為世界做什麼,張喻婷老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1488854781389.pdf
330,2017/03/01,優雅的NG和演出者的本職,蔡佳玲老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1488347434624.pdf
329,2017/01/03,改變的勇氣,黃毓萍老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1483417945031.pdf
328,2016/12/27,開心樂活，扭轉人生,陳斐娟老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1483417840546.pdf
327,2016/12/26,什麼是作為一位學生的本份？,黃莉婷老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1483417746484.pdf
326,2016/12/12,你怎麼那麼生氣,王釋逸老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1483417649703.pdf
325,2016/12/06,團體的力量,李鴻傑老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1483417536125.pdf
324,2016/11/29,啟動家庭的力量,張喻婷老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1483417431671.pdf
323,2016/11/23,暫時不帶評價用心聽,吳祖揚老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1483417274437.pdf
322,2016/11/14,復原力在教育上的的重要性,張學善老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1483417041109.pdf
321,2016/11/07,眼淚想說的是…,留妘蓁老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1483416927984.pdf
320,2016/10/31,放慢腳步讀生活，寫你我。,李鴻傑老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1483416799015.pdf
319,2016/10/25,讓煩惱成為禮物,潘才學兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1483415658593.pdf
318,2016/10/17,諮商真的有效嗎？,吳祖揚老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1483415550750.pdf
317,2016/10/12,還記得，你所擁有的「選擇權」嗎?,留妘蓁老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1483415434812.pdf
316,2016/10/03,不以外在條件定義自己,黃毓萍老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1483415244593.pdf
315,2016/06/20,面對困境的心態,黃毓萍老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1467873594166.pdf
314,2016/06/07,限量的迷思,陳玟杏兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1467873500006.pdf
313,2016/05/31,在校園中，成家,呂藂乂實習輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1467873408933.pdf
312,2016/05/23,打開關係的第一步,袁仕慶實習輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1467873338207.pdf
311,2016/05/17,關於職場性騷擾,吳祖揚老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1467873192416.pdf
310,2016/04/25,撕下錯誤的標籤,呂藂乂實習輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1467873092053.pdf
309,2016/04/12,您的心理健康被社會新聞事件影響了嗎？,吳祖揚老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1467873016197.pdf
308,2016/04/08,謝母恩,潘才學兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1467872918442.pdf
307,2016/03/22,關係的可貴,陳怡靜老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1467872814401.pdf
306,2016/03/07,「拒絕」難，不難？,黃毓萍老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1467872638702.pdf
305,2016/02/24,教育環境中的多元文化,袁仕慶實習輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1467872523490.pdf
304,2016/01/04,學習「等一下」！,陳玟杏兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1467872369549.pdf
303,2015/12/22,『最好』的迷思,黃莉婷兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1467872266811.pdf
302,2015/12/16,豢養的責任,袁仕慶實習輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1467872158492.pdf
301,2015/12/08,聽見「心靈」的聲音,呂藂乂實習輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1467872024157.pdf
300,2015/12/04,舞台,潘才學兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1467872010103.pdf
299,2015/11/23,真的需要就醫嗎？,吳祖揚老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1448411695058.pdf
298,2015/11/05,吵架總比冷戰好,呂藂乂實習老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1448411597268.pdf
297,2015/10/28,把自己留在當下,袁仕慶實習老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1448411503143.pdf
296,2015/10/06,踏進諮商中心，難不難?,林德真老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1448411402950.pdf
295,2015/09/30,在愛中不忘發展自我,黃毓萍老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1448411303353.pdf
294,2015/06/08,為什麼要『安心講座』？,黃毓萍老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1434074797515.pdf
293,2015/06/03,諮商和你想的不一樣,廖婉均實習老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1434074650640.pdf
292,2015/05/26,事情，有時不是我們想的那樣,黃莉婷兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1434074562281.pdf
291,2015/05/13,你，「休閒」了嗎？,張學善兼任輔導老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1434074462203.pdf
290,2015/05/05,「性」是誰人知,林德真老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1434074369578.pdf
289,2015/04/28,網路霸凌之反思,陳怡靜老師,http://www.counseling.fcu.edu.tw/wSite/public/Attachment/f1434073991750.pdf
